column,n_total,n_missing,missing_ratio,n_observed,mean,std,min,25%,50%,75%,max
x1,100,27,0.27,73,1.0312632875151837,2.230903894429415,-4.822709245650005,-0.18362542032906548,0.9206516208385344,2.3675974615692823,5.501272863585331
x2,100,33,0.33,67,0.9312450504536589,1.9772989232725977,-4.347374085533281,-0.10583570701827094,0.9490397376364273,2.3056907403035893,5.2080214493974095
x3,100,31,0.31,69,0.8284579642447925,1.7852249422789968,-2.38318221042087,-0.6954157499893314,0.8234317353970914,2.0795878443172007,5.464616421105041
x4,100,30,0.3,70,1.155355017058276,1.418323271794577,-1.4644672749187249,0.05888057876391944,1.1167735607242362,2.3574300925479186,3.774362500078479
x5,100,23,0.23,77,0.9136661205104286,1.427801680334568,-2.039652353675462,-0.2692410980512583,0.931822170419177,2.0952063138016577,3.9536342741175425
x6,100,26,0.26,74,0.890228860128072,1.4463342350195485,-2.747435224609437,-0.19608464955328736,0.8053594958801586,1.8897340871408674,4.437495351062207
x7,100,27,0.27,73,1.123487241704332,1.3777109196149275,-1.812312528731348,0.08728477431093289,1.092205303853885,2.1479592848559235,4.390094629912074
x8,100,28,0.28,72,1.2025949339001778,1.3765617582218506,-2.2283069170847893,0.1131212741675558,1.2435992887603593,2.156519879893771,4.0143983492056154
x9,100,33,0.33,67,0.9522154698753027,1.2989001957174648,-2.083111206691724,-0.04928264163804492,0.9822260192722138,2.0209793760582837,3.85131526622169
x10,100,34,0.34,66,0.9952458462587207,1.4154311370719532,-1.6573916841020928,-0.05042128361263111,1.0330473648946736,1.8245695539657545,4.8349192361551765
x11,100,44,0.44,56,0.7332956144563739,1.4545428089959862,-2.885696408175135,-0.315465839252267,0.5532125489165904,1.9523649207770684,4.302005882533948
x12,100,25,0.25,75,0.7627822301872527,1.3655015798008867,-2.044716763438535,-0.23671263343611398,0.5944798331588387,1.8504033787385181,4.206880471348491
x13,100,33,0.33,67,0.9093395060559668,1.3054349003904622,-1.7939754458391586,0.10742223741684809,0.8255516518098198,1.8605012266868712,3.805127377547916
x14,100,35,0.35,65,0.8646162595572169,1.3640584349394385,-2.3054330550610738,-0.12501987233439968,0.690847286780057,2.0092106621927517,4.360292607288717
x15,100,25,0.25,75,0.9987762013028155,1.3479979637494843,-1.828062541978417,-0.14007170012248887,0.9832382120332086,1.8398568322871494,3.7856506234537664
x16,100,27,0.27,73,0.9116287484785945,1.3606608365723711,-2.3328626074925642,-0.07562974092715043,0.9185858509553309,1.984621936474735,3.379825826571686
x17,100,34,0.34,66,1.0992560625083563,1.5203546802812653,-2.2845779243306037,0.07472268187533639,1.1195215527214724,2.0921316461389434,5.253151630412258
x18,100,33,0.33,67,0.9321215639550189,1.4301706381630317,-3.2235461383066655,0.12662137451794742,0.9945942191438186,2.157953981560718,3.4896492513635753
x19,100,29,0.29,71,0.8359519085261324,1.352597187304672,-2.76605340814881,-0.2890019780333118,0.8969935385586401,1.8820251728859485,3.4255227852559607
x20,100,32,0.32,68,0.8374030518445511,1.3063635150682895,-2.0100967374560295,-0.057456802249963045,0.8707193398105966,1.7594947500760152,4.002142455595338
x21,100,29,0.29,71,0.8198239548883391,1.2260611707769389,-1.86552122079006,-0.09780332574336645,0.9835099956338951,1.791385366803115,3.614152881185327
x22,100,29,0.29,71,0.8157244606926,1.2149402117628856,-1.914200700075784,-0.09616802079114181,0.6740558259149099,1.597768175587786,3.5966733293323845
x23,100,20,0.2,80,0.8571875810982064,1.3128647460964313,-2.3817891812688314,0.06840898869145551,0.8099962139728054,1.9110468020906461,3.9518167996644045
x24,100,25,0.25,75,0.7297246788292929,1.3724791449068603,-1.924476515882584,-0.29876675274272035,0.7077815214213781,1.6630242675678453,4.072112452014047
x25,100,32,0.32,68,0.8799555949009082,1.3545453405117522,-2.49174019511173,-0.148767985656011,0.9264765467915963,1.909552479905422,4.378127303219684
x26,100,29,0.29,71,1.0676182878901368,1.4788352412643084,-1.9220366024679483,0.008409490237980311,1.269670924118845,2.185480191910301,4.199612597619491
x27,100,32,0.32,68,0.8356571960957097,1.4238879633710104,-2.2202860344021396,-0.013326892185508513,0.9915618900306595,1.5197430988437932,3.9348140496659685
x28,100,33,0.33,67,1.1428943760516317,1.360560557416571,-1.8454224314188037,0.4692040906997923,1.234588540697207,2.1968349399731233,4.12609563056375
x29,100,32,0.32,68,0.8680317567904229,1.423957867483194,-2.794210049189747,-0.0984657744572098,0.8006437307321843,1.8720029957363744,4.916431808883221
x30,100,30,0.3,70,0.6611064769981837,1.3131871579188037,-2.1876187028101377,-0.21204677536767116,0.707109828053527,1.723637722905664,3.0731349207716026
