column,n_total,n_missing,missing_ratio,n_observed,mean,std,min,25%,50%,75%,max
x1,100,17,0.17,83,0.16369188358813153,1.711444321868844,-3.9241468217668096,-0.9613528839933639,0.10838597179839066,1.4696819999610233,4.3540781045650485
x2,100,12,0.12,88,-0.0876728907648927,1.603063804622644,-4.725256600844399,-1.0631010783924502,-0.22773124273291223,0.8515991527747,3.276752574227462
x3,100,11,0.11,89,-0.08010519179733314,1.3529099902832757,-3.1290350252676284,-0.9955994060491399,-0.024073284924733842,1.0147032930829085,3.290881183937344
x4,100,12,0.12,88,0.05957670248682966,1.0489307280021627,-2.1147132352435345,-0.6157041919283786,0.11330187905435837,0.8392457817912254,2.591189696801791
x5,100,9,0.09,91,0.0011728048037838573,0.9688403516789988,-2.217249970723348,-0.8143861184939241,-0.058025886265630336,0.6390686502674745,2.8512771697143253
x6,100,8,0.08,92,0.17162606779011952,0.9381728425248846,-1.8659908986008142,-0.5984245498927726,0.4020329627914797,0.8518969370643926,1.9399917810171994
x7,100,7,0.07,93,0.02255743923021152,1.0801548308418771,-2.615430278476916,-0.6157522012082842,0.08052063267564613,0.7247741456597858,2.753145583091049
x8,100,7,0.07,93,-0.02692483808702927,1.0639852883615835,-2.8931001781298242,-0.5891933326083129,-0.03717213180901149,0.854566800298152,2.0619384153553706
x9,100,6,0.06,94,-0.0665730883494445,1.1740753939884419,-3.23028114749076,-0.7822521695765858,0.03125938990321454,0.779805423305725,2.1502940182478842
x10,100,11,0.11,89,-0.06544105605014644,1.0873103125617936,-2.8717472538169697,-0.8547988340069923,0.12970048133618273,0.6299028833119588,1.8592622581570684
