phase,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
0,0.24382708832845096,-0.928324247415415,,-1.2653706268161395,-0.29558924207746967,0.22550287476755967,-0.5702317249365385,-1.1416224658107745,-2.082132767577435,-1.1427559200035553,,-0.478939496363198,,,-0.11842531375872097,0.8338822725941,0.8280617376127035,0.7548645658887408,1.6027831716622674,,1.4665146337745532,1.1561788682367176,0.05179817049102489,-0.060751490058591956,-0.37044073758863455,-1.0178860879140303,0.015619915479844631,0.08353868198229075,-0.9140730342419537,-0.9221194704742027
0,,-2.134313586212905,-1.550689917371069,-1.2184595292802782,-0.9887603952269182,-0.635494233948675,-0.059817754870762456,0.6728752444739908,,0.43458718496549237,0.17059935130864032,1.332295686470145,0.23400760618208757,-0.6512416494602056,-0.3331949437375668,,-0.23375638043211483,-0.27052225217856307,-0.3850791761970297,0.18168750523880514,-1.030497294734495,-1.5642296343090654,-1.4338482076159988,-0.32294982523828236,-1.1468018041280874,0.9000586674607338,0.12435418236896609,0.6149991245786416,0.48642081576179097,0.15722540131815835
0,3.285517356849598,1.7625046596473881,-0.3105096338248131,-0.37618982211157476,-0.04771911490418077,,0.5305248322428889,0.46684606490367,0.03097025173062143,0.14387499282178384,-0.7046205436797136,0.13638798138492397,-0.02424551195398142,-0.4531922042630936,-0.1671450497283385,0.2473281066675327,,0.3158541282895305,-1.077580747134859,,-0.3619838447707128,-0.0027990448605744417,1.2358313388729152,0.9531082934072658,0.5897145051511796,0.3599277356217046,0.1384406615181507,0.3809555972945417,0.44124121803972066,1.7292990501806598
0,-1.2618157465140292,0.4073708116701925,-1.4414854019845484,-1.2014608889511038,-0.49520112636862723,0.26619767584694043,,0.5475227624535645,-0.5917144578795445,-0.16989160208537782,-1.674759643169572,-1.1859328709106987,-0.08063062977990172,0.37281622346971105,-0.39756064066499874,-0.5874864366579483,0.23844026075808336,0.6171554569851576,,,1.529346214829318,0.1863819847449962,0.7560087385546322,-0.4371072617408429,-2.024040234442967,-1.663910051232436,,-1.786555511231755,-1.12793420991092,-1.0485213790213979
0,1.5901125536864895,,0.5084354197183719,0.8435431717173747,1.384553258008574,0.752777531666422,-0.9239463768245116,-0.8962942605351355,0.6825738687005328,-0.3260478757528403,,0.7768134909938643,,-1.3880311376126333,0.7592943548991508,0.3440703444993562,-0.6667051923104768,0.5727162045000282,0.907537860615014,-0.18249441333970656,-0.5282732210009837,-0.033986775840330136,1.35008765997404,0.0013121448915939529,-0.40931996002529974,0.11913687866941496,1.1745752172789576,2.1387178354015934,2.478698751568641,
0,0.7838809690573705,-0.025285759223679056,-0.6620813571248221,0.08161263482768799,-0.31602452965431505,-1.2642541313657318,-1.72513489904954,,-1.3282428939736797,0.7113474870389233,0.6810154256014267,,0.007636635795094189,,1.1350425895729646,,-1.6237499491582592,-2.299028482845814,,-0.8131847586005082,-1.00379670906704,-0.7743763654227203,-0.5009605666264163,-0.9385052771576903,-1.1319263275292386,,-0.5466917977467106,0.11838256325336328,1.0178680232319137,0.17380818766171333
0,-2.8070959264547346,,-0.5350603898729888,-1.4644672749187249,-0.30753205295158775,-1.602082772896534,,,-0.05377269863421757,-0.07675522728725451,0.7697192352942969,0.4841804408675473,,-1.08243770026608,-1.5585907732217628,-1.3360591271684912,0.4161209563443495,1.1601239056997557,0.2851474407702102,0.5576730944749403,,,,-0.5708582635384902,0.36745834720142034,0.8454905069972604,1.6215584466307562,2.688420479511506,0.770024590781954,-0.25350265667991856
0,-0.5210367162926239,-2.482883936196565,-1.0195297292726155,0.8002419266939376,-0.9056955479981504,-2.747435224609437,0.035314591273452024,-1.0199722127421098,-0.6525337702842188,-0.8580932726719631,0.15874074958499865,,0.45241526344683203,0.7687957095805114,,0.6838707221075582,-0.5665276592731676,-1.8851796825408484,-0.1057151400211505,,-0.6372583663224637,-0.4472406546731546,-0.24347556454288236,-0.1789657101034746,0.1345975779122718,,-0.9110185664605142,,-0.21464095864542704,0.2868254135470965
0,1.7296373338084425,-0.4319660622180022,-0.35047040989642014,2.418394978658783,1.983526068143322,1.8193272789133372,1.260345667152437,1.2883189294908122,0.6403739146096425,0.38638982557704793,-0.31668453437772287,-1.2329545489144627,0.09484062342898988,0.24572935417016686,,-0.5794327469998641,-2.008864710303618,-3.2235461383066655,-3.356696057667145,-2.0100967374560295,-0.20177734829822316,,0.3221994294250192,0.7077815214213781,0.12267425973233972,-0.15491444979432675,-0.8171824430707594,-1.5793423272224933,-2.187140970173552,-1.6071934737176823
0,0.8214672594398017,2.177584635862457,-1.4305271076165178,0.3580401600034036,1.7755758855012713,-0.09996018202448742,0.267610229250624,,,0.21164126309406825,0.31332819401522094,-1.7416347285173703,-0.6780796385811205,,-1.42475826841556,-0.08351292304315165,-0.5749910263158577,0.3601694553216841,-0.3594035393137528,-0.8118884055901087,-0.5559069176189074,0.80419492052407,1.074239109718898,2.1598243636048804,0.934211740667646,1.4275619878815498,1.482305718080376,1.629008878765115,1.0785501578265584,-0.0021725800629726656
